Pitcher,PitchType,Speed,PitchDateTime,Batter,HitType,SwingAction,PitchCall,SessionPitchID,PitchDate,PitchTime,SpinRate,ReleaseHeight,ReleaseSide,Extension,Tilt,InducedVerticalBreak,HorizontalBreak,VerticalApproachAngle,HorizontalApproachAngle,ZoneLocation,session_id,pitch_location_side_ft,pitch_location_height_ft,Zone,in_out,abv_vert_break,abv_hori_break,event,hit_type,hit
Clark Gilmore,Undefined,77.9,16/02/2024 17:29,Chris Miller,NA,No Swing,BallCalled,1,16/02/2024,17:29:00,2564,4.26,2.7,NA,2024-03-08T13:00:00Z,-3.9,-6.7,-9.11,-4.99,Out of Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-1.59,0.46,0,0,3.9,6.7,Take,NA,0
Clark Gilmore,Undefined,88,16/02/2024 17:30,AJ Demastrie,NA,No Swing,FoulBall,2,16/02/2024,17:30:00,2267,3.84,2.62,4.8,2024-03-08T07:15:00Z,6.8,16.5,-5.17,-0.76,Inner Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,0.39,1.75,3,1,6.8,16.5,Foul Ball,NA,0
Clark Gilmore,Undefined,87.1,16/02/2024 17:31,AJ Demastrie,NA,No Swing,FoulBall,3,16/02/2024,17:31:00,2293,3.79,2.78,4.9,2024-03-08T06:30:00Z,7.2,7,-4.97,-3.16,Outer Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-0.83,1.96,0,0,7.2,7,Foul Ball,NA,0
Clark Gilmore,Undefined,81.2,16/02/2024 17:32,AJ Demastrie,NA,No Swing,InPlay,4,16/02/2024,17:32:00,1800,4.04,2.6,4.8,2024-03-08T07:45:00Z,0.9,11.6,-7.47,-0.96,Out of Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,0.62,0.97,0,0,0.9,11.6,Hit,NA,1
Clark Gilmore,Undefined,88.3,16/02/2024 17:32,Kolton Freeman,NA,No Swing,BallCalled,5,16/02/2024,17:32:00,2337,3.91,2.75,4.9,2024-03-08T07:00:00Z,8.4,14.7,-4.55,-0.31,Out of Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,1.1,2.24,0,0,8.4,14.7,Take,NA,0
Clark Gilmore,Undefined,88,16/02/2024 17:33,Kolton Freeman,NA,No Swing,BallCalled,6,16/02/2024,17:33:00,2310,3.82,2.62,5.2,2024-03-08T06:45:00Z,8.9,11.4,-5.01,-3.3,Out of Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-1.52,1.72,0,0,8.9,11.4,Take,NA,0
Clark Gilmore,Undefined,86.8,16/02/2024 17:33,Kolton Freeman,NA,No Swing,BallCalled,7,16/02/2024,17:33:00,2430,3.71,2.87,NA,2024-03-08T06:45:00Z,5.4,7.7,-4.75,-4.75,Out of Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-2.39,2.36,0,0,5.4,7.7,Take,NA,0
Clark Gilmore,Undefined,86.9,16/02/2024 17:33,Kolton Freeman,NA,No Swing,BallCalled,8,16/02/2024,17:33:00,2380,3.87,2.79,4.8,2024-03-08T07:00:00Z,8.4,13.5,-3.57,-2.32,Inner Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-0.63,3.25,7,1,8.4,13.5,Take,NA,0
Clark Gilmore,Undefined,86.7,16/02/2024 17:34,Chris Miller,NA,No Swing,FoulBall,9,16/02/2024,17:34:00,2305,3.91,3.2,5.1,NA,NA,NA,NA,NA,Inner Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-0.14,2.92,8,1,NA,NA,Foul Ball,NA,0
Clark Gilmore,Undefined,88.2,16/02/2024 17:34,Chris Miller,NA,No Swing,BallCalled,10,16/02/2024,17:34:00,2287,3.81,2.79,5.2,2024-03-08T06:30:00Z,7,6.5,-4.36,-2.93,Inner Zone,4145f44d-7631-41a9-b126-62e7117dd8bd,-0.55,2.43,4,1,7,6.5,Take,NA,0
